,E1,pt1,eta1,phi1
0,0.80685484,0.8134726,0.9442428,-0.82402337
1,-0.18646225,0.41075733,0.36557075,0.30298164
2,0.5164051,0.29643512,1.0714998,-0.68604267
3,-0.30085504,0.17464915,0.43119392,0.53366274
4,-0.5144066,-0.02098909,0.40215248,-0.70628196
5,-0.027055586,-0.1365081,0.925143,0.41169047
6,-0.68402624,-0.0963498,0.1606538,-1.1281643
7,-1.3485048,-1.3304089,0.78702897,0.49550366
8,0.77051085,1.6464031,-0.02690175,-1.4745958
9,-0.35293546,0.1666865,0.25050542,1.0962043
10,-1.0082468,-0.9515832,-0.781975,-0.545198
11,-0.7384268,-0.6826712,-0.80725235,0.4082515
12,-0.9194211,-0.9089747,-0.85330045,1.3571253
13,-0.03539983,0.65318334,-0.23130503,-0.8888046
14,-0.69363606,-0.09567989,-0.1094324,-0.5058811
15,-0.8512271,-0.24143249,0.07258461,-0.1019805
16,1.1840181,-0.83464557,2.2068775,0.7156772
17,2.0269442,1.5055716,1.5066655,-1.3824682
18,-0.1848641,0.067350514,-0.6753214,0.38798267
19,1.3360572,0.46335486,-1.6059897,-0.52429664
20,-1.3419429,-0.7975629,-0.03952234,-1.4669431
21,0.22935213,0.5556047,-0.6765034,-0.15685113
22,-0.58201176,-0.14886911,-0.4230382,-1.1903636
23,-0.571162,-0.09524211,-0.41714162,-0.46684313
24,0.19930424,0.25168034,-0.8849593,0.06321325
25,0.66725063,0.05975245,-1.3737057,-1.8083895
26,-1.1404617,-1.2705239,-0.9447197,-0.7264107
27,0.33149806,-0.73206276,-1.6016108,0.5096922
28,-0.8867933,-0.9563568,0.8776747,0.27010542
29,-0.23022239,0.24029309,-0.47591218,1.0132087
30,-0.31210443,0.31836286,-0.22784734,-0.039227642
31,-1.1319704,-0.9847424,-0.7084779,0.09944997
32,-1.6614385,-1.1256297,0.07280099,-0.041451864
33,0.5463623,0.7830696,0.7937034,0.64010453
34,-2.0637653,-1.5456525,0.15735464,-0.7316461
35,2.0504467,1.927662,-1.3099958,-0.32675925
36,1.7058418,2.4751585,0.29724413,0.9872588
37,-0.14215216,0.592489,0.029288905,-0.6452486
38,2.5085762,0.8081545,-2.364028,-0.3335056
39,-0.8718675,-0.2607372,0.018004235,-1.735492
40,-1.1134468,-1.0013429,0.7323017,2.612291
41,-0.20154622,-0.6847181,1.1779273,-0.54888433
42,-0.100751564,0.35811767,-0.5284045,0.029600423
43,-0.05677049,0.45851043,0.44762042,-1.1922203
44,1.443887,-1.4848299,-2.454604,0.8541437
45,-0.45745113,0.11242155,0.28795,0.30147058
46,-0.08485226,-0.5440262,1.1697786,-1.6737493
47,-0.66728365,-0.65341353,0.8230185,-0.57198596
48,-1.8523864,-2.0725281,0.87700456,1.7316517
49,-0.20312887,0.3209172,0.3898027,-0.9535688
50,-0.057533134,0.66489834,0.029580794,1.3345569
51,2.1607435,1.560532,-1.6080801,1.7325118
52,-0.47759932,-0.61664104,0.9504776,0.5446301
53,0.55754393,-0.39820418,-1.5588243,-0.5611278
54,-0.1580389,0.14077522,0.6172605,-0.5060707
55,0.58817387,1.0670403,-0.59630346,1.5908835
56,-0.95549357,-0.35574257,-0.10958353,1.8919567
57,-0.06741294,0.15385923,-0.72652143,-0.6356013
58,-0.51863784,-0.6080447,0.9119057,2.411504
59,-0.04970674,0.18751264,0.6929765,1.3040328
