,E1,pt1,eta1,phi1
0,0.76868385,0.7957403,0.9688608,-1.0273517
1,-0.19782004,0.40587562,0.3708164,0.3897604
2,0.48942974,0.31205317,1.0994052,-0.87363374
3,-0.31209368,0.20414518,0.43914884,0.6862265
4,-0.5083163,0.016131237,0.40890077,-0.8966705
5,-0.0475156,-0.09713337,0.9529322,0.53134114
6,-0.6814884,-0.059003204,0.15259555,-1.2995089
7,-1.3206686,-1.3680434,0.82001495,0.6338316
8,0.74112004,1.6158062,-0.039973173,-1.49343
9,-0.36307347,0.19734176,0.25229228,1.2539897
10,-0.9889726,-0.9623014,-0.7879201,-0.7053703
11,-0.7392024,-0.67238855,-0.8153963,0.52860403
12,-0.9051707,-0.91869956,-0.8587388,1.4365927
13,-0.057291914,0.63707954,-0.25219408,-1.0978755
14,-0.6923705,-0.058420207,-0.13019772,-0.65081644
15,-0.83778214,-0.21216302,0.06173379,-0.11810203
16,1.1981106,-0.83408207,2.1445763,0.8948322
17,2.108175,1.4681528,1.5061054,-1.4363554
18,-0.19599016,0.10279726,-0.6963123,0.50630003
19,1.3413776,0.46182466,-1.5809962,-0.67486036
20,-1.3151836,-0.79574865,-0.052554592,-1.489201
21,0.1963046,0.54805744,-0.6973923,-0.19158061
22,-0.58148825,-0.10971327,-0.42682543,-1.340302
23,-0.569151,-0.058037784,-0.42082047,-0.61044073
24,0.16486356,0.2751826,-0.8874638,0.10943949
25,0.6426652,0.09511935,-1.3435966,-1.6185968
26,-1.116754,-1.3087889,-0.95519686,-0.9159959
27,0.29987428,-0.7286077,-1.5760326,0.6504304
28,-0.87134224,-0.96697336,0.89562035,0.3518281
29,-0.24911445,0.26524222,-0.48380518,1.1898316
30,-0.32263342,0.33133754,-0.2488828,-0.030724684
31,-1.106064,-0.99434483,-0.72572637,0.14486223
32,-1.6448184,-1.1488605,0.06191794,-0.033867598
33,0.5228325,0.7641515,0.8262431,0.81223905
34,-1.9851387,-1.588304,0.14961402,-0.9209761
35,2.132417,1.9115036,-1.2916155,-0.43318906
36,1.7474208,2.6591012,0.29387486,1.1664276
37,-0.15633665,0.5825372,0.023050196,-0.8296022
38,2.99738,0.79063773,-2.372657,-0.4424984
39,-0.8568073,-0.23196353,0.013456528,-1.5972905
40,-1.0876541,-1.0112998,0.7546221,1.7278973
41,-0.21561219,-0.6741108,1.2064123,-0.7096883
42,-0.11927872,0.36138064,-0.5369988,0.054373134
43,-0.07711288,0.45681033,0.46347693,-1.3413035
44,1.4397631,-1.5178871,-2.614068,1.0444992
45,-0.45655453,0.14860266,0.28614742,0.3874105
46,-0.10244431,-0.5320493,1.1996582,-1.5769858
47,-0.6627408,-0.64536744,0.8498596,-0.73654795
48,-1.8142081,-2.0501394,0.8950175,1.5972329
49,-0.21752535,0.33357593,0.3972172,-1.1529412
50,-0.07779302,0.65074784,0.023298373,1.4224089
51,2.2660117,1.5248426,-1.5833533,1.5974277
52,-0.4771135,-0.6045496,0.97400004,0.7036878
53,0.53319645,-0.383377,-1.5263972,-0.7239667
54,-0.1686646,0.17201348,0.6445167,-0.651039
55,0.5596082,1.0448726,-0.61278564,1.5511259
56,-0.9379697,-0.33568892,-0.13039716,1.6423829
57,-0.08664629,0.18485546,-0.7385738,-0.8205155
58,-0.5114578,-0.5942803,0.94014937,1.7151936
59,-0.07082283,0.21507236,0.7183532,1.4059882
60,-0.8403176,-0.2399169,0.16037968,-0.15288319
61,-1.0661768,-0.51860565,0.21492639,1.1656263
62,0.8375275,1.3216519,0.6657432,-1.1304387
63,0.48471507,1.195409,0.36963448,-1.520067
64,-0.78444964,-0.27597448,0.3694044,-0.14601277
65,0.9949826,1.2879798,0.84509325,0.33099258
66,0.30409622,0.38058746,-0.9244252,-0.97039396
67,-0.09151594,-0.046835143,-0.90334034,-0.724679
68,-1.42772,-1.2630558,-0.64924604,0.2595806
69,-0.25675783,0.3377612,0.36032048,1.514701
70,1.4181608,-1.1479031,2.419044,0.48805475
71,-1.2756804,-1.3700224,0.853946,-0.47800958
72,-0.09506928,0.31075612,-0.61120135,1.1397405
73,-0.15660037,-1.3440523,1.6155298,-0.39979455
74,0.7581187,-0.43257877,1.6910026,-0.5254193
75,-0.29593247,0.092902355,-0.60098195,-0.82588524
76,0.3410107,0.09046607,1.1355063,-0.8251062
77,-0.97499055,-0.44199228,0.2836033,-0.2974326
78,-0.124213144,0.563194,-0.15393427,-1.2756597
79,-0.9872537,-0.42448366,0.20601812,-0.50127345
80,-0.8209454,-0.78167653,0.8156588,-1.2012852
81,1.2457914,-0.58890224,-2.0592632,1.659182
82,1.3019948,0.8844388,1.3204036,1.2057793
83,0.17053132,0.9548745,-0.06439625,0.81156576
84,-0.08347697,-0.3985697,1.129448,0.98493177
85,0.10775565,0.4095715,0.7252217,-1.4326885
86,-0.3867439,-2.5062013,2.064514,-0.96058387
87,0.18516803,0.49539244,0.72555715,1.5877066
88,-0.37905192,-0.061744362,0.65215915,1.4116528
89,0.13096109,-1.9706674,-2.1042862,1.6833316
90,-0.38988084,0.1161233,0.44597542,0.9138125
91,1.0299747,1.0385747,1.0421476,0.2912145
92,0.3609057,0.82010853,-0.6315847,-1.5314908
93,0.9913529,1.7656258,0.38402984,1.5082684
94,1.5421137,-0.21521707,2.0324664,0.634121
95,0.059318256,0.7891803,0.13814692,-1.1384125
96,1.97861,-1.0042719,-2.6662533,0.99054074
97,-0.5858119,0.020856725,0.19344383,-0.52987254
98,-0.2989653,-0.51000774,1.0436255,-0.8944336
99,1.4135387,2.3637836,0.18236881,0.81858253
100,-0.12633683,0.5239112,-0.29082805,1.0661783
101,0.33636314,0.8981713,-0.53173953,-1.230276
102,0.79180604,0.06917864,1.4427468,1.4261204
103,-0.0013198649,0.32793048,-0.69159925,-1.5348239
104,-1.8250694,-2.422533,1.1360389,1.728131
105,0.23347124,0.10924232,1.0486003,-0.9482809
106,-0.12144404,0.343765,0.53576094,0.3700984
107,0.05951952,0.5337446,-0.5535995,0.9207736
108,1.1343933,-0.05791209,-1.7286669,-0.9803321
109,1.5296723,1.1440544,-1.327244,1.154386
110,0.27863985,0.8342021,0.44467443,-0.5386387
111,-0.50728446,-0.52271605,0.8933449,-1.6191922
112,0.4348596,0.8175546,0.69534296,-1.2156137
113,-0.70852476,-0.14397104,-0.2905391,-0.5730866
114,-0.06897907,0.58493066,0.2782171,-0.71415657
115,0.82081574,1.1503899,-0.7481382,0.7523266
116,0.53807765,0.8688289,0.74563557,-0.22007059
117,-0.06766276,-0.75073487,1.3511933,1.2448697
118,-0.7710043,-0.5843907,0.70472497,-1.692615
119,-0.06307303,-0.5005728,-1.2165506,0.4371005
120,1.4836755,0.15149091,1.820383,0.014665265
121,1.1123006,0.15178776,1.598724,1.0154027
122,-0.23711036,-0.28792325,-0.9513155,0.9371498
123,0.0019651242,0.692729,-0.25496027,0.020671086
124,-1.3033993,-0.7717014,0.15601902,1.5741683
125,1.374593,1.3561611,-1.0646393,-0.83768183
126,0.72150725,1.4945775,0.124992415,1.285262
127,-1.3397678,-1.0310656,-0.5051257,0.7926132
128,0.31057367,-0.76289225,-1.6001251,0.5203775
129,0.16816011,0.20884125,0.9275445,0.85735565
130,-1.5822903,-1.2206386,-0.4095868,1.585247
131,0.9018994,-0.37799364,-1.7555357,-0.25406826
132,0.4689772,1.117044,0.42313522,-1.7399353
133,-0.84603393,-0.36353904,-0.39850724,0.26879147
134,-0.91816026,-1.7050533,-1.3340888,-1.6139282
135,0.5420659,1.3517753,0.15356106,0.07140202
136,0.8445139,1.276336,-0.70612836,1.0737126
